person_id,wiki_id,name,is_primary
i-5mrB9FPRsk5QE1MSMJGM5v,Q100257960,Ivar Markus Tallgren,true
i-5mrB9FPRsk5QE1MSMJGM5v,Q100257960,Ivar Tallgren,false
i-2xbFzmJWLtL3VujRuxuuH6,Q100258348,Herman Snellman,true
i-2xbFzmJWLtL3VujRuxuuH6,Q100258348,Herman Henrik Snellman,false
i-B25euU6eTmVWcf2VC3ZBV6,Q100272554,Knut Anthoni,true
i-B25euU6eTmVWcf2VC3ZBV6,Q100272554,Knut Gustaf Mauritz Anthoni,false
i-FYbSvFu4rVek9C99uESHpF,Q100272570,Aleksanteri Vihonen,true
i-D6Mi4GWWJsTvqGyurVJi26,Q100323030,Fredrik Hellman,true
i-D6Mi4GWWJsTvqGyurVJi26,Q100323030,Johan Fredrik Hellman,false
i-XTm7WfMb8Qz55wD74N5o4P,Q100701345,August Herckman,true
i-XTm7WfMb8Qz55wD74N5o4P,Q100701345,Karl August Herckman,false
,Q100775517,Sven Rydenius,true
i-Sfn4EsStf31pPRaBmW4Hw5,Q100780792,Arno Reuter,true
i-Sfn4EsStf31pPRaBmW4Hw5,Q100780792,Arno Immanuel Reuter,false
i-RE9ioS2PcNCNiD9EFU1fDJ,Q100781243,Isak August Björklund,true
,Q100781792,Per Ståhlfot,true
,Q100781792,Per Ståhlfot vanhempi,false
,Q100781825,Justin von Brochen,true
i-DSjrPP1Ub5W9gAqYsTTrAh,Q100784211,Otto Immanuel Appelberg,true
i-DSjrPP1Ub5W9gAqYsTTrAh,Q100784211,Otto Appelberg,false
i-QC5Cyy3W7sCFLULXRbi4Rm,Q100784583,Johan Alfred Nystén,true
i-MBAhp3QGsu4xyQ6tjvHiC7,Q100784624,Theodor Leopold Eck,true
i-MBAhp3QGsu4xyQ6tjvHiC7,Q100784624,Theodor Leoplod Eck,false
,Q100784667,Kurt af Enehielm,true
,Q100784667,Pehr Kurt Alexander af Enehielm,false
i-R8pmgSjrtL5RNu17k6YJJ8,Q100784884,Gerhard Pehr Alopaeus,true
i-BeRvKqtBy9SWuixQwoec6u,Q100799794,Anton Viktor Appelqvist,true
i-6RRNWfsAtFAXWdUseP8L1A,Q100799795,Arnold Melcher Berger,true
i-6RRNWfsAtFAXWdUseP8L1A,Q100799795,Arnold Melker Berger,false
,Q100799906,Anders Prytz,true
i-5ahKMDRNdvdeMdezNrmgyx,Q100799960,Matti E. Niemelä,true
i-5ahKMDRNdvdeMdezNrmgyx,Q100799960,Matti Edvard Niemelä,false
i-9YnqBLMGaHBapiMMXa6o2H,Q100800012,Juho Pitkänen,true
i-XfE5nFNMTw34PVMQsqSvFb,Q100802472,Adiel Bergroth,true
i-2VhaeA75HNF4Pr6FXDXgtW,Q100851697,Otto Johan Blåfield,true
i-2VhaeA75HNF4Pr6FXDXgtW,Q100851697,Otto Johan Blafield,false
i-HjfmDsS4k6Zju4rc3Q8bpb,Q100852046,Uno Otto Honka,true
i-HjfmDsS4k6Zju4rc3Q8bpb,Q100852046,Uno Bremer,false
i-HjfmDsS4k6Zju4rc3Q8bpb,Q100852046,Uno Otto Bremer,false
i-T1yiXmDGyDLcG1pnW8cW3f,Q100870519,Petter Adolf Brofeldt,true
i-G6iwQxbYxHRYyueS8LfTsP,Q100898575,Kaarlo Juhana Inberg,true
i-G6iwQxbYxHRYyueS8LfTsP,Q100898575,Hannu Inberg,false
i-6DQ2gWnq9MWyAb4m57Z2yL,Q100923107,Gabriel Wilhelm Cadenius,true
i-6DQ2gWnq9MWyAb4m57Z2yL,Q100923107,Gabriel Vilhelm Cadenius,false
i-KHiayBK11WrtpMd7gYcFdd,Q100964971,Hans Henrik Estlander,true
i-43CbwtzFU9fvE1ZC4NayXe,Q100988071,Karl Konstantin Fieandt,true
i-43CbwtzFU9fvE1ZC4NayXe,Q100988071,Karl Fieandt,false
i-9D2LibJwPUscnAJfeCAzVY,Q100988079,Johan August Florin,true
i-58p2yq1prpUmoBHrSj7Haf,Q100997944,Karl Oskar Fontell,true
i-QMgGCwPHvJ4CXVz7N7KJek,Q101009349,Ivar Rudolf Forsman,true
i-BrKJnQtih3hhFEfYd26FMg,Q101034212,Hugo Ferdinand Forss,true
i-2CJtkh9e4uShfgLaoscF6f,Q101034227,August Johan Frosterus,true
i-Wfy38pQM86JQxSkMjXDHU1,Q101038653,Knut Gustaf Victor Furuhjelm,true
i-Wfy38pQM86JQxSkMjXDHU1,Q101038653,Knut Gustaf Viktor Furuhjelm,false
i-6G9DjpxbMbfYHpZqppkoPx,Q101063791,Arvid Thorsten Birger Genetz,true
i-6G9DjpxbMbfYHpZqppkoPx,Q101063791,Arvid Torsten Birger Genetz,false
i-HbssPjwFZEsothhGDbLv7,Q101069591,Fredrik Edvard Grönroos,true
i-Rby9gqrGcd7k1U8tGWeVco,Q101069594,Aleksanteri Gummerus,true
i-Rby9gqrGcd7k1U8tGWeVco,Q101069594,Aleksander Gummerus,false
,Q101084739,Kristian Alfred Grahn,true
,Q101084739,Christian Alfred Grahn,false
i-D2g5wWQiqw9p79PhuHGzim,Q101084740,Salomon Hirvinen,true
i-HUvuQRnpDN1nYgahrKQD5D,Q101084745,Berndt Emil Hollmérus,true
i-AYoxgmS8gHJDiYdTBRU1Bm,Q101084746,Axel August Hårdh,true
i-TvcxBipQbXEpB8ZmhBPP9x,Q101111233,Eugen Idestam,true
i-TvcxBipQbXEpB8ZmhBPP9x,Q101111233,Oscar Eugen Idestam,false
i-TvcxBipQbXEpB8ZmhBPP9x,Q101111233,Oscar Eugén Idestam,false
