meeting_id,start,end,name_en,name_fi
diet-provoo,1809-03-25,1809-07-19,The Diet of Porvoo,Porvoon maapäivät
diet-1863,1863-09-15,1864-04-15,The Diet of 1863,Säätyvaltiopäivät 1863
diet-1867,1867-01,1867-05,The Diet of 1867,Säätyvaltiopäivät 1867
diet-1872,1872-02,1872-06,The Diet of 1872,Säätyvaltiopäivät 1872
diet-1877,1877-01,1878-01,The Diet of 1877,Säätyvaltiopäivät 1877
diet-1882,1882-01,1882-06,The Diet of 1882,Säätyvaltiopäivät 1882
diet-1885,1885-01,1885-05,The Diet of 1885,Säätyvaltiopäivät 1885
diet-1888,1888-01,1888-05,The Diet of 1888,Säätyvaltiopäivät 1888
diet-1891,1891-01,1891-05,The Diet of 1891,Säätyvaltiopäivät 1891
diet-1894,1894-01,1894-06,The Diet of 1894,Säätyvaltiopäivät 1894
diet-1897,1897-01,1897-06,The Diet of 1897,Säätyvaltiopäivät 1897
diet-1899,1899-01,1899-05,The diet of 1899,Säätyvaltiopäivät 1899
diet-1900,1900-01,1900-06,The Diet of 1900,Säätyvaltiopäivät 1900
diet-1904,1904-12,1905-04,The Diet of 1904,Säätyvaltiopäivät 1904
diet-1906,1906-01,1906-09,The Diet of 1906,Säätyvaltiopäivät 1906
