person_id,wiki_id,name
i-14317JnQPTgWq1zhQNz5cf,Q17382097,Mikko Latva
i-14fxkLqzdcadwNTzSJwBCv,Q105086426,Pekka Hakulinen
i-1764P2Vnu3yRnSonnYBdyo,Q2782990,Alfred Hackman
i-17htpZDs17EUXFq4uXyrgb,Q105432284,Brynolf Roiha
i-17rHdCAokyZJRHvnBtWfiy,Q105454506,Matti Kulkas
i-182iQaw41tqTySDbhb38Sp,Q105037587,Juho Brusila
i-1YXQKL3Er4LUeCEH813T9,,Frans Arvid Snellman
i-232oBiwo9Msdu9iGgYgsy7,Q105771891,Karl Henrik Råbergh
i-24MJDgsqqgCgQM9j64vDZY,Q17382406,Johan Abraham Maunu
i-254g857EoqyeksFi9ULpYn,Q105629945,Tuomas Poikela
i-25WDyXxu97AE9nCuf58dk9,Q107283215,Carl Gustaf Munck
i-26xiTcnRwiSfZaD1uCoG3H,Q106323601,Martti Levonen
i-29jAvqcdVSDmnMHm7GL7zd,Q101184315,Josua Johansson
i-2CJtkh9e4uShfgLaoscF6f,Q101034227,August Johan Frosterus
i-2ELCNXniPoUbrhGohCTZVH,Q17380288,Waldemar von Frenckell
i-2F6oVsrG3mDJDsy2mxCob7,,Ludvig Alexander Wennerström
i-2FYsCmQMwS68T3RySi3Mpc,,Alexander von Collan nuorempi
i-2GsZ4BooHWCQvrdPTMX1GL,Q102322805,Karl Viktor Hjalmar af Forselles
i-2GtDchQB42K4xYbTq87cVq,Q20252786,Hugo Rosenlew
i-2HrSoCSC4HZ2SVh4Nh66Kx,,Adolf Fredrik Sirén
i-2J1cFCU1ntRSDLK69LyixZ,Q105350990,Vihtori Hosio
i-2Ji5aehRfDbxVmrRpEzJLv,Q107978489,Edvard Waldemar von Christierson
i-2JpLXsMwopWLZqb1nASqEs,Q106319506,Atle Genetz
i-2Lagjiv4piKgWYsSBqwUKU,,C. W. Åkerlund
i-2Lagjiv4piKgWYsSBqwUKU,,C. W.  Åkerlund
i-2M9Q96JhxJvPjW2FZPFTCY,Q11851328,Anders Svedberg
i-2N84i2GCAKRZCDmnxUA3sR,Q104549857,Berndt Fredrik Finckenberg
i-2Ng5Yiz94qvSG22vZM58eP,Q106323713,Magnus Björklund
i-2Nv6cX45TaPfoUjwp4kCNm,Q105620588,Enok Nohteri
i-2PANodj2adQVJutav5GHPK,,Daniel Woldemar Åkerman
i-2PT41UyWuKo4xm1qXeaPnb,Q5040254,Carl Gustaf Wolff
i-2QuMhjdBvRwN4UjQH2UEkH,Q11853728,Axel Wilhelm Wahren
i-2Ss1PMTbudt7KdQFdTRFcG,Q106811973,Pehr Adolf Alf af Forselles
i-2TJ9oUcw4dzh1P1QpjGfP7,Q17381619,Johan Erik Keto
i-2TXUUfxhbM1mKyn8oqUGzY,,Oscar von Konow
i-2TmKiLYSqwWZHXSS1TZEeE,Q106766138,Herman Adlercreutz
i-2VUbjQp4iwPVbhLEqfvijy,Q11870138,Karl Julian Karlsson
