swerik_person_id,diet,estate
i-14317JnQPTgWq1zhQNz5cf,Ylimääräiset-säätyvaltiopäivät-1905,burgers
i-14317JnQPTgWq1zhQNz5cf,Säätyvaltiopäivät-1904,burgers
i-14fxkLqzdcadwNTzSJwBCv,Säätyvaltiopäivät-1867,peasants
i-1764P2Vnu3yRnSonnYBdyo,Säätyvaltiopäivät-1891,nobility
i-1764P2Vnu3yRnSonnYBdyo,Ylimääräiset-säätyvaltiopäivät-1905,nobility
i-1764P2Vnu3yRnSonnYBdyo,Säätyvaltiopäivät-1904,nobility
i-1764P2Vnu3yRnSonnYBdyo,Säätyvaltiopäivät-1899,nobility
i-1764P2Vnu3yRnSonnYBdyo,Säätyvaltiopäivät-1897,nobility
i-1764P2Vnu3yRnSonnYBdyo,Säätyvaltiopäivät-1894,nobility
i-17htpZDs17EUXFq4uXyrgb,Säätyvaltiopäivät-1897,peasants
i-17htpZDs17EUXFq4uXyrgb,Säätyvaltiopäivät-1899,peasants
i-17htpZDs17EUXFq4uXyrgb,Säätyvaltiopäivät-1900,peasants
i-17htpZDs17EUXFq4uXyrgb,Säätyvaltiopäivät-1904,peasants
i-17htpZDs17EUXFq4uXyrgb,Ylimääräiset-säätyvaltiopäivät-1905,peasants
i-17rHdCAokyZJRHvnBtWfiy,Säätyvaltiopäivät-1863,peasants
i-182iQaw41tqTySDbhb38Sp,Säätyvaltiopäivät-1894,peasants
i-182iQaw41tqTySDbhb38Sp,Säätyvaltiopäivät-1863,peasants
i-182iQaw41tqTySDbhb38Sp,Säätyvaltiopäivät-1877,peasants
i-182iQaw41tqTySDbhb38Sp,Säätyvaltiopäivät-1897,peasants
i-182iQaw41tqTySDbhb38Sp,Säätyvaltiopäivät-1882,peasants
i-182iQaw41tqTySDbhb38Sp,Säätyvaltiopäivät-1891,peasants
i-182iQaw41tqTySDbhb38Sp,Säätyvaltiopäivät-1885,peasants
i-182iQaw41tqTySDbhb38Sp,Säätyvaltiopäivät-1888,peasants
i-1YXQKL3Er4LUeCEH813T9,Säätyvaltiopäivät-1867,priests
i-232oBiwo9Msdu9iGgYgsy7,Säätyvaltiopäivät-1888,peasants
i-24MJDgsqqgCgQM9j64vDZY,Ylimääräiset-säätyvaltiopäivät-1905,priests
i-24MJDgsqqgCgQM9j64vDZY,Säätyvaltiopäivät-1904,priests
i-254g857EoqyeksFi9ULpYn,Säätyvaltiopäivät-1863,peasants
i-254g857EoqyeksFi9ULpYn,Säätyvaltiopäivät-1867,peasants
i-25WDyXxu97AE9nCuf58dk9,Säätyvaltiopäivät-1888,nobility
i-25WDyXxu97AE9nCuf58dk9,Säätyvaltiopäivät-1900,nobility
i-26xiTcnRwiSfZaD1uCoG3H,Säätyvaltiopäivät-1867,peasants
i-29jAvqcdVSDmnMHm7GL7zd,Ylimääräiset-säätyvaltiopäivät-1905,priests
i-29jAvqcdVSDmnMHm7GL7zd,Säätyvaltiopäivät-1904,priests
i-29jAvqcdVSDmnMHm7GL7zd,Säätyvaltiopäivät-1891,priests
i-29jAvqcdVSDmnMHm7GL7zd,Säätyvaltiopäivät-1894,priests
i-29jAvqcdVSDmnMHm7GL7zd,Säätyvaltiopäivät-1897,priests
i-29jAvqcdVSDmnMHm7GL7zd,Säätyvaltiopäivät-1899,priests
i-29jAvqcdVSDmnMHm7GL7zd,Säätyvaltiopäivät-1900,priests
i-29jAvqcdVSDmnMHm7GL7zd,Säätyvaltiopäivät-1885,priests
i-29jAvqcdVSDmnMHm7GL7zd,Säätyvaltiopäivät-1888,priests
i-2CJtkh9e4uShfgLaoscF6f,Säätyvaltiopäivät-1882,priests
i-2ELCNXniPoUbrhGohCTZVH,Säätyvaltiopäivät-1904,nobility
i-2ELCNXniPoUbrhGohCTZVH,Säätyvaltiopäivät-1882,nobility
i-2F6oVsrG3mDJDsy2mxCob7,Säätyvaltiopäivät-1894,priests
i-2F6oVsrG3mDJDsy2mxCob7,Säätyvaltiopäivät-1888,priests
i-2F6oVsrG3mDJDsy2mxCob7,Säätyvaltiopäivät-1891,priests
i-2F6oVsrG3mDJDsy2mxCob7,Säätyvaltiopäivät-1897,priests
i-2F6oVsrG3mDJDsy2mxCob7,Säätyvaltiopäivät-1899,priests
i-2F6oVsrG3mDJDsy2mxCob7,Säätyvaltiopäivät-1900,priests
i-2F6oVsrG3mDJDsy2mxCob7,Säätyvaltiopäivät-1904,priests
i-2F6oVsrG3mDJDsy2mxCob7,Ylimääräiset-säätyvaltiopäivät-1905,priests
i-2FYsCmQMwS68T3RySi3Mpc,Säätyvaltiopäivät-1894,nobility
i-2GsZ4BooHWCQvrdPTMX1GL,Säätyvaltiopäivät-1863,nobility
i-2GsZ4BooHWCQvrdPTMX1GL,Säätyvaltiopäivät-1867,nobility
i-2GsZ4BooHWCQvrdPTMX1GL,Säätyvaltiopäivät-1877,nobility
i-2GtDchQB42K4xYbTq87cVq,Säätyvaltiopäivät-1904,nobility
i-2GtDchQB42K4xYbTq87cVq,Säätyvaltiopäivät-1900,nobility
i-2GtDchQB42K4xYbTq87cVq,Ylimääräiset-säätyvaltiopäivät-1905,nobility
i-2HrSoCSC4HZ2SVh4Nh66Kx,Säätyvaltiopäivät-1863,priests
i-2J1cFCU1ntRSDLK69LyixZ,Säätyvaltiopäivät-1900,peasants
i-2J1cFCU1ntRSDLK69LyixZ,Säätyvaltiopäivät-1899,peasants
i-2Ji5aehRfDbxVmrRpEzJLv,Säätyvaltiopäivät-1885,nobility
i-2Ji5aehRfDbxVmrRpEzJLv,Säätyvaltiopäivät-1888,nobility
i-2Ji5aehRfDbxVmrRpEzJLv,Säätyvaltiopäivät-1891,nobility
i-2JpLXsMwopWLZqb1nASqEs,Säätyvaltiopäivät-1894,burgers
i-2JpLXsMwopWLZqb1nASqEs,Säätyvaltiopäivät-1897,burgers
i-2Lagjiv4piKgWYsSBqwUKU,Säätyvaltiopäivät-1891,burgers
i-2Lagjiv4piKgWYsSBqwUKU,Säätyvaltiopäivät-1888,burgers
i-2M9Q96JhxJvPjW2FZPFTCY,Säätyvaltiopäivät-1885,peasants
i-2M9Q96JhxJvPjW2FZPFTCY,Säätyvaltiopäivät-1877,peasants
i-2M9Q96JhxJvPjW2FZPFTCY,Säätyvaltiopäivät-1888,peasants
i-2M9Q96JhxJvPjW2FZPFTCY,Säätyvaltiopäivät-1882,peasants
i-2N84i2GCAKRZCDmnxUA3sR,porvoon-valtiopäivät,nobility
i-2Ng5Yiz94qvSG22vZM58eP,Säätyvaltiopäivät-1904,burgers
i-2Nv6cX45TaPfoUjwp4kCNm,Säätyvaltiopäivät-1877,peasants
i-2PANodj2adQVJutav5GHPK,Säätyvaltiopäivät-1897,burgers
i-2PT41UyWuKo4xm1qXeaPnb,Säätyvaltiopäivät-1863,burgers
i-2PT41UyWuKo4xm1qXeaPnb,Säätyvaltiopäivät-1867,burgers
i-2QuMhjdBvRwN4UjQH2UEkH,Säätyvaltiopäivät-1885,nobility
i-2Ss1PMTbudt7KdQFdTRFcG,Ylimääräiset-säätyvaltiopäivät-1905,nobility
i-2TJ9oUcw4dzh1P1QpjGfP7,Säätyvaltiopäivät-1877,peasants
i-2TJ9oUcw4dzh1P1QpjGfP7,Säätyvaltiopäivät-1867,peasants
i-2TJ9oUcw4dzh1P1QpjGfP7,Säätyvaltiopäivät-1863,peasants
i-2TJ9oUcw4dzh1P1QpjGfP7,Säätyvaltiopäivät-1882,peasants
i-2TXUUfxhbM1mKyn8oqUGzY,Säätyvaltiopäivät-1863,nobility
i-2TmKiLYSqwWZHXSS1TZEeE,Säätyvaltiopäivät-1900,nobility
i-2TmKiLYSqwWZHXSS1TZEeE,Ylimääräiset-säätyvaltiopäivät-1905,nobility
i-2TmKiLYSqwWZHXSS1TZEeE,Säätyvaltiopäivät-1904,nobility
i-2TmKiLYSqwWZHXSS1TZEeE,Säätyvaltiopäivät-1897,nobility
i-2VUbjQp4iwPVbhLEqfvijy,Ylimääräiset-säätyvaltiopäivät-1905,peasants
i-2VUbjQp4iwPVbhLEqfvijy,Säätyvaltiopäivät-1904,peasants
i-2VhaeA75HNF4Pr6FXDXgtW,Säätyvaltiopäivät-1897,nobility
i-2W4vYEoJYZJJk2NotrpeYd,Säätyvaltiopäivät-1885,priests
i-2WTpAbUHcxdqr6EZLuThwv,porvoon-valtiopäivät,peasants
i-2WWyV6tYwf1MCC9zgsfC2t,Säätyvaltiopäivät-1882,peasants
i-2X7N1Zp3Fhx6CZv8Ja21nK,Säätyvaltiopäivät-1863,priests
i-2XhKnDrvwR1osJ5ryzubot,Säätyvaltiopäivät-1863,nobility
i-2XhKnDrvwR1osJ5ryzubot,Säätyvaltiopäivät-1867,nobility
i-2XhKnDrvwR1osJ5ryzubot,Säätyvaltiopäivät-1877,nobility
i-2Y28YhcXXa6iFvLQQcnSZa,Säätyvaltiopäivät-1863,peasants
i-2Y7nE87KujbGcxBqipXQGn,Ylimääräiset-säätyvaltiopäivät-1905,burgers
i-2ZVFdKNgodWAvp9mUf7Ku6,Säätyvaltiopäivät-1900,nobility
i-2ZVFdKNgodWAvp9mUf7Ku6,Ylimääräiset-säätyvaltiopäivät-1905,nobility
i-2ZVFdKNgodWAvp9mUf7Ku6,Säätyvaltiopäivät-1897,nobility
i-2ZVFdKNgodWAvp9mUf7Ku6,Säätyvaltiopäivät-1904,nobility
i-2ZVFdKNgodWAvp9mUf7Ku6,Säätyvaltiopäivät-1894,nobility
i-2ZVFdKNgodWAvp9mUf7Ku6,Säätyvaltiopäivät-1891,nobility
i-2ZVFdKNgodWAvp9mUf7Ku6,Säätyvaltiopäivät-1888,nobility
i-2ZVFdKNgodWAvp9mUf7Ku6,Säätyvaltiopäivät-1885,nobility
i-2a1jEQVQLMgg8WcCkNCz31,Säätyvaltiopäivät-1900,nobility
i-2a1jEQVQLMgg8WcCkNCz31,Säätyvaltiopäivät-1904,nobility
i-2a1jEQVQLMgg8WcCkNCz31,Säätyvaltiopäivät-1897,nobility
i-2a1jEQVQLMgg8WcCkNCz31,Säätyvaltiopäivät-1894,nobility
i-2a1jEQVQLMgg8WcCkNCz31,Säätyvaltiopäivät-1888,nobility
i-2a1jEQVQLMgg8WcCkNCz31,Säätyvaltiopäivät-1885,nobility
i-2a1jEQVQLMgg8WcCkNCz31,Säätyvaltiopäivät-1899,nobility
i-2a1jEQVQLMgg8WcCkNCz31,Säätyvaltiopäivät-1891,nobility
i-2a1jEQVQLMgg8WcCkNCz31,Ylimääräiset-säätyvaltiopäivät-1905,nobility
i-2aAsQDaQzvviNLiHAqhh6S,Säätyvaltiopäivät-1867,priests
