name;url;occupation;estate;lan;kommun
Kristian Trapp;/wiki/Kristian_Trapp;Kauppias;burgers;säädyn puhemies;
Samuel Gottschick;/wiki/Samuel_Gottschick;Nahkuripäällysmies (tehtailija);burgers;Turku;
Jacob Holmstén;/wiki/Jacob_Holmst%C3%A9n;Kauppias;burgers;Loviisa;
Eric Borgström;/wiki/Eric_Borgstr%C3%B6m;Kauppias ja;burgers;>Helsinki;
Carl Magnus Engman;/wiki/Carl_Magnus_Engman;Raatimies ja;burgers;Oulu and Kajaani;
Herman Höckert;/wiki/Herman_H%C3%B6ckert;Raatimies ja;burgers;Vaasa;
Johan Ascholin;/wiki/Johan_Ascholin;Kauppias, laivanvarustaja;burgers;Pori;
Fredrik Ståhle;/wiki/Fredrik_St%C3%A5hle;Kauppias;burgers;Rauma;
Johan Solitander;/wiki/Johan_Solitander;Ruukinpatruuna, laivanvarustaja, vuorineuvos;burgers;Porvoo;
Pehr Malm;/wiki/Pehr_Malm;Raatimies, laivanvarustaja;burgers;Uusikaarlepyy;
Hans Petter Winge;/wiki/Hans_Petter_Winge;Pormestari;burgers;Kokkola and Pietarsaari;
Nils Nyman;/wiki/Nils_Nyman;Kauppias;burgers;Uusikaupunki;
Mårten Fredrik Ringbom;/wiki/M%C3%A5rten_Fredrik_Ringbom;Pormestari;burgers;Tammisaari;
Daniel Mattens;/wiki/Daniel_Mattens;Asessori;burgers;Kristiinankaupunki;
Jakob Elias Granberg;/wiki/Jakob_Elias_Granberg;Raatimies;burgers;Hämeenlinna;
Henrik Sovelius;/wiki/Henrik_Sovelius_(1772%E2%80%931817);Kauppias;burgers;Raahe;
Ernst Fredrik Tihlman;/wiki/Ernst_Fredrik_Tihlman;Järjestysmies (pormestari);burgers;Tampere;
Samuel Backman;/wiki/Samuel_Backman;Raatimies;burgers;Kuopio;
Petter Johan Bladh;/wiki/Petter_Johan_Bladh;Tukkukauppias, laivanvarustaja;burgers;Kaskinen;
Johan Fredrik Stichaeus;/wiki/Johan_Fredrik_Stichaeus;Säädyn sihteerinä toimi;burgers;;
Robert Wilhelm de Geer;/wiki/Robert_Wilhelm_de_Geer;;nobility;;
Karl Gustaf Creutz;/wiki/Karl_Gustaf_Creutz;;nobility;;
Reinhold Johan Rehbinder;/wiki/Reinhold_Johan_Rehbinder;;nobility;;
Axel Gustaf Mellin;/wiki/Axel_Gustaf_Mellin;;nobility;;
Axel Reinhold Cedercreutz;/wiki/Axel_Reinhold_Cedercreutz;;nobility;;
Fredrik Ulrik Bernt Otto Stackelberg;/wiki/Fredrik_Ulrik_Bernt_Otto_Stackelberg;;nobility;;
Olof Cederström;/wiki/Olof_Cederstr%C3%B6m;;nobility;;
August Filip Armfelt;/wiki/August_Filip_Armfelt;;nobility;;
Gustaf von Kothen;/wiki/Gustaf_von_Kothen;;nobility;;
Carl Erik Mannerheim;/wiki/Carl_Erik_Mannerheim;;nobility;;
Karl Efraim Carpelan;/wiki/Karl_Efraim_Carpelan;;nobility;;
Johan Henrik Munck;/wiki/Johan_Henrik_Munck;;nobility;;
Simon Wilhelm Carpelan;/wiki/Simon_Wilhelm_Carpelan;;nobility;;
Ernst Gustaf von Willebrand;/wiki/Ernst_Gustaf_von_Willebrand;;nobility;;
Otto Christer Boije af Gennäs;/wiki/Otto_Christer_Boije_af_Genn%C3%A4s;;nobility;;
Claes Uggla;/wiki/Claes_Uggla;;nobility;;
Johan Anders Jägerhorn;/wiki/Johan_Anders_J%C3%A4gerhorn;;nobility;;
Henrik Johan von Knorring;/wiki/Henrik_Johan_von_Knorring;;nobility;;
Berndt Fredrik Finckenberg;/wiki/Berndt_Fredrik_Finckenberg;;nobility;;
Svinhufvud af Qvalstad;/wiki/Svinhufvud_af_Qvalstad;;nobility;;
Salomon Jakob Finckenberg;/wiki/Salomon_Jakob_Finckenberg;;nobility;;
Henrik Robert Spåre;/wiki/Henrik_Robert_Sp%C3%A5re;;nobility;;
Johan Herman Lode;/wiki/Johan_Herman_Lode;;nobility;;
Karl Fredrik Rotkirch;/wiki/Karl_Fredrik_Rotkirch;;nobility;;
Axel Herman Hästesko af Målagård;/wiki/Axel_Herman_H%C3%A4stesko_af_M%C3%A5lag%C3%A5rd;;nobility;;
Fredrik Adolf Ramsay;/wiki/Fredrik_Adolf_Ramsay;;nobility;;
Robert Blåfield;/wiki/Robert_Bl%C3%A5field;;nobility;;
Jacob Wilhelm Hisinger;/wiki/Jacob_Wilhelm_Hisinger;;nobility;;
Adolf Johan Lilliebrunn;/wiki/Adolf_Johan_Lilliebrunn;;nobility;;
Henrik Johan Kuhlefelt;/wiki/Henrik_Johan_Kuhlefelt;;nobility;;
Johan Anders Gyldenär;/wiki/Johan_Anders_Gylden%C3%A4r;;nobility;;
Berndt Henrik Aminoff;/wiki/Berndt_Henrik_Aminoff;;nobility;;
Carl Johan Armfelt;/wiki/Carl_Johan_Armfelt;;nobility;;
Carl Edvard Gyldenstolpe;/wiki/Carl_Edvard_Gyldenstolpe;;nobility;;
Carl Vilhelm Torwigge;/wiki/Carl_Vilhelm_Torwigge;;nobility;;
Albrecht Fredrik Richard de la Chapelle;/wiki/Albrecht_Fredrik_Richard_de_la_Chapelle;;nobility;;
Bernt Gustaf Eneskjöld;/wiki/Bernt_Gustaf_Eneskj%C3%B6ld;;nobility;;
Daniel Erik Bosin;/wiki/Daniel_Erik_Bosin;;nobility;;
Johan Tandefelt;/wiki/Johan_Tandefelt;;nobility;;
Carl Adolf Möllerswärd;/wiki/Carl_Adolf_M%C3%B6llersw%C3%A4rd;;nobility;;
Robert Magnus Brunow;/wiki/Robert_Magnus_Brunow;;nobility;;
Georg Fredrik von Essen;/wiki/Georg_Fredrik_von_Essen;;nobility;;
Joakim Fredrik Lindtman;/wiki/Joakim_Fredrik_Lindtman;;nobility;;
Nils Jonas Gammal Ehrencrona;/wiki/Nils_Jonas_Gammal_Ehrencrona;;nobility;;
Carl Magnus Gripenberg;/wiki/Carl_Magnus_Gripenberg;;nobility;;
Carl Constantin de Carnall;/wiki/Carl_Constantin_de_Carnall;;nobility;;
Erik Johan Örnhielm;/wiki/Erik_Johan_%C3%96rnhielm;;nobility;;
Petter Silfverskiöld;/wiki/Petter_Silfverski%C3%B6ld;;nobility;;
Suomen lähetyskunta;/wiki/Suomen_l%C3%A4hetyskunta;;nobility;;
Carl Gustaf Lagermarck;/wiki/Carl_Gustaf_Lagermarck;;nobility;;
Anton Wilhelm von Schantz;/wiki/Anton_Wilhelm_von_Schantz;;nobility;;
Karl Henrik Adlercreutz;/wiki/Karl_Henrik_Adlercreutz;;nobility;;
Gustaf Wilhelm Ladau;/wiki/Gustaf_Wilhelm_Ladau;;nobility;;
Georg Magnus Sprengtporten;/wiki/Georg_Magnus_Sprengtporten;;nobility;;
Fredrik Ehrenmalm;/wiki/Fredrik_Ehrenmalm;;nobility;;
Hans Henrik Stjernvall;/wiki/Hans_Henrik_Stjernvall;;nobility;;
Johan Fredrik von Willebrand;/wiki/Johan_Fredrik_von_Willebrand;;nobility;;
Christoffer Egidius von Hartmansdorff;/wiki/Christoffer_Egidius_von_Hartmansdorff;;nobility;;
Johan Christoffer von Morian;/wiki/Johan_Christoffer_von_Morian;;nobility;;
Otto Karl von Fieandt;/wiki/Otto_Karl_von_Fieandt;;nobility;;
Magnus Fredrik Clementeoff;/wiki/Magnus_Fredrik_Clementeoff;;nobility;;
Fredrik Segercrantz;/wiki/Fredrik_Segercrantz;;nobility;;
Jonas af Enehjelm;/wiki/Jonas_af_Enehjelm;;nobility;;
Henrik Gustaf von Knorring;/wiki/Henrik_Gustaf_von_Knorring;;nobility;;
Michael Hisinger;/wiki/Michael_Hisinger;;nobility;;
Gustaf af Stenhoff;/wiki/Gustaf_af_Stenhoff;;nobility;;
Jakob af Forselles;/wiki/Jakob_af_Forselles;;nobility;;
Fredrik Frans Wallenstråle;/wiki/Fredrik_Frans_Wallenstr%C3%A5le;;nobility;;
Knut von Troil;/wiki/Knut_von_Troil;;nobility;;
Bernt Fredrik von Konow;/wiki/Bernt_Fredrik_von_Konow;;nobility;;
Adam Teodor Langenskiöld;/wiki/Adam_Teodor_Langenski%C3%B6ld;;nobility;;
Fabian af Enehjelm;/wiki/Fabian_af_Enehjelm;;nobility;;
Fredrik August von Zansen;/wiki/Fredrik_August_von_Zansen;;nobility;;
Henrik Christian Nordenswan;/wiki/Henrik_Christian_Nordenswan;;nobility;;
Karl Arvid Krabbe;/wiki/Karl_Arvid_Krabbe;;nobility;;
Carl Anton Broberger;/wiki/Carl_Anton_Broberger;;nobility;;
Adolf Tandefelt;/wiki/Adolf_Tandefelt;;nobility;;
Petter Klockars;/wiki/Petter_Klockars;herastuomari;peasants;Vaasan lääni;Uudenkaarlepyyn pitäjä
Elias Sipuli;/wiki/Elias_Sipuli;talollinen;peasants;Turun ja Porin lääni;Kisko
Elias Lauko;/wiki/Elias_Lauko;rusthollari;peasants;Turun ja Porin lääni;Perniö
Juhana Koivisto;/wiki/Juhana_Koivisto;Turun ja Porin lääni;peasants;;Pöytyä
Juhana Kinttala;/wiki/Juhana_Kinttala;Turun ja Porin lääni;peasants;;Rymättylä
Elias Hintsa;/wiki/Elias_Hintsa;Turun ja Porin lääni;peasants;;Pirkkala
Tuomas Tuomala;/wiki/Tuomas_Tuomala;Turun ja Porin lääni;peasants;;Loimaa
Henrik Kesti;/wiki/Henrik_Kesti;Turun ja Porin lääni;peasants;;Ulvila
Henrik Riihimäki;/wiki/Henrik_Riihim%C3%A4ki;Turun ja Porin lääni;peasants;;Taivassalo
Juhana Himanen;/wiki/Juhana_Himanen;lautamies;peasants;Kymenkartanon lääni;Ristiina
Tuomas Seppälä;/wiki/Tuomas_Sepp%C3%A4l%C3%A4;Kymenkartanon lääni;peasants;;Nastola
Henrik Pussila;/wiki/Henrik_Pussila;Kymenkartanon lääni;peasants;;Myrskylä
Henrik Waris;/wiki/Henrik_Waris;Kuopion lääni;peasants;;Rautalammi
Pietari Wäänänen;/wiki/Pietari_V%C3%A4%C3%A4n%C3%A4nen;Kuopion lääni;peasants;;Kuopion pitäjä
Pietari Hoffrén;/wiki/Pietari_Hoffr%C3%A9n;Kuopion lääni;peasants;;Leppävirta
Henrik Ullgren;/wiki/Henrik_Ullgren;Kuopion lääni;peasants;;Pielisjärvi
Pietari Haaranen;/wiki/Pietari_Haaranen;Kuopion lääni;peasants;;Tohmajärvi
Simo Uotila;/wiki/Simo_Uotila;Uudenmaan ja Hämeenlinnan lääni;peasants;;Lempäälä
Simo Ylinen;/wiki/Simo_Ylinen;Uudenmaan ja Hämeenlinnan lääni;peasants;;Längelmäki
Antti Mongola;/wiki/Antti_Mongola;Uudenmaan ja Hämeenlinnan lääni;peasants;;Akaa
Gustaf Lemström;/wiki/Gustaf_Lemstr%C3%B6m;Uudenmaan ja Hämeenlinnan lääni;peasants;;Siuntio
Johan Lundström;/wiki/Johan_Lundstr%C3%B6m;Uudenmaan ja Hämeenlinnan lääni;peasants;;Karjaa
Gustaf Falck;/wiki/Gustaf_Falck;Uudenmaan ja Hämeenlinnan lääni;peasants;;Sipoo
Erik Isotalo;/wiki/Erik_Isotalo;Uudenmaan ja Hämeenlinnan lääni;peasants;;Lammi
Henrik Granroth;/wiki/Henrik_Granroth;Vaasan lääni;peasants;;Pietarsaaren maalaiskunta
Simon Louko;/wiki/Simon_Louko;Vaasan lääni;peasants;;Isokyrö
Pietari Wästi;/wiki/Pietari_W%C3%A4sti;Vaasan lääni;peasants;;Ilmajoki
Johan Schulin;/wiki/Johan_Schulin;Oulun lääni;peasants;;Oulunjoen pitäjä
Henrik Tervonen;/wiki/Henrik_Tervonen;Oulun lääni;peasants;;Paltamo
Johan Kelhälä;/wiki/Johan_Kelh%C3%A4l%C3%A4;Oulun lääni;peasants;;Saloinen
A. F. Orrhaeus;/wiki/Anders_Fabian_Orrhjelm;;peasants;;
Jacob Tengström;/wiki/Jacob_Tengstr%C3%B6m;Turun arkkipiispa;priests;;
Gustaf Gadolin;/wiki/Gustaf_Gadolin;Naantalin ja Raisio kirkkoherra;priests;;
Johan Sundwall;/wiki/Johan_Sundwall;Pöytyän kirkkoherra;priests;;
Nils Johansson Aejmelaeus;/wiki/Nils_Johansson_Aejmelaeus;Isonkyrön kirkkoherra ja Suomen lähetyskunnan jäsen;priests;;
Isak Höckert;/wiki/Isak_H%C3%B6ckert;Kumlingen kirkkoherra;priests;;
Magnus Jacob Alopaeus;/wiki/Magnus_Jacob_Alopaeus;Porvoon tuomiorovasti;priests;;
Ivar Wallenius;/wiki/Ivar_Wallenius;Hauhon kirkkoherra ja Suomen lähetyskunnan jäsen;priests;;
