name;url;occupation;estate;lan;kommun
Johan Fredrik Ahlberg;/wiki/Johan_Fredrik_Ahlberg;;burgers;;Mikkeli
Edvard Bergh;/wiki/Edvard_Bergh;;burgers;;Helsinki
Olof Blom;/wiki/Olof_Blom;;burgers;Uusikaupunki;Naantali
Fredrik Edgar Leonard Bronikowsky;/wiki/Fredrik_Edgar_Leonard_Bronikowsky;;burgers;;Turku
Frans Julius Cederman;/wiki/Frans_Julius_Cederman;;burgers;;Tornio
Fredrik Reinhold Ehnberg;/wiki/Fredrik_Reinhold_Ehnberg;;burgers;;Kuopio
Frans Wilhelm von Frenckell;/wiki/Frans_Wilhelm_von_Frenckell;puhemies;burgers;;Tampere
Adolf Wilhelm Granström;/wiki/Adolf_Wilhelm_Granstr%C3%B6m;;burgers;;Rauma
Carl Grundfeldt;/wiki/Carl_Grundfeldt;;burgers;;Uusikaarlepyy
Otto Reinhold Grönholm;/wiki/Otto_Reinhold_Gr%C3%B6nholm;;burgers;;Hämeenlinna
Woldemar Hackman;/wiki/Woldemar_Hackman;;burgers;;Viipuri
Anders Gustaf Hamberg;/wiki/Anders_Gustaf_Hamberg;;burgers;;Loviisa
Gustaf Mauritz Helsingius;/wiki/Gustaf_Mauritz_Helsingius;;burgers;Sortavala;Lappeenranta
Karl Magnus Holm;/wiki/Karl_Magnus_Holm;;burgers;;Porvoo
Jakob Krank;/wiki/Jakob_Krank;;burgers;Jyväskylä;Heinola
Gustaf Adolf Lindblom;/wiki/Gustaf_Adolf_Lindblom;;burgers;;Turku
Karl Edvard Lindeqvist;/wiki/Karl_Edvard_Lindeqvist;;burgers;;Pori
Peter Malm;/wiki/Peter_Malm;;burgers;;Pietarsaari
Antti Juhana Mustonen;/wiki/Antti_Juhana_Mustonen;;burgers;;Joensuu
Simon Wilhelm Nylander;/wiki/Simon_Wilhelm_Nylander;;burgers;Raahe;Kajaani
Albert Ferdinand Ottelin;/wiki/Albert_Ferdinand_Ottelin;;burgers;;Kokkola
Abraham Petrelius;/wiki/Abraham_Petrelius;;burgers;;Savonlinna
Carl Rosenius;/wiki/Carl_Rosenius;;burgers;;Viipuri
J. W. Snellman G:son;/wiki/J._W._Snellman_G:son;;burgers;;Oulu
Gustaf Fritiof Utter;/wiki/Gustaf_Fritiof_Utter;;burgers;;Hamina
Herman Wahrman;/wiki/Herman_Wahrman;;burgers;;Käkisalmi
Otto Samuel Wendelin;/wiki/Otto_Samuel_Wendelin;;burgers;Kristiinankaupunki;Kaskinen
Carl Gustaf Wolff;/wiki/Carl_Gustaf_Wolff;;burgers;;Vaasa
Carl Adolf Öhrnberg;/wiki/Carl_Adolf_%C3%96hrnberg;;burgers;;Helsinki
Pehr Östring;/wiki/Pehr_%C3%96string;;burgers;;Tammisaari
Johan Georg Agricola;/wiki/Johan_Georg_Agricola;;nobility;;
Georg von Alfthan;/wiki/Georg_von_Alfthan;;nobility;;
Adolf Aminoff;/wiki/Adolf_Aminoff_(1806%E2%80%931884);;nobility;;
Berndt Adolf Carl Gregori Aminoff;/wiki/Berndt_Adolf_Carl_Gregori_Aminoff;;nobility;;
Fredrik Aminoff;/wiki/Fredrik_Aminoff;;nobility;;
Edvard Reinhold von Ammondt;/wiki/Edvard_Reinhold_von_Ammondt;;nobility;;
August Magnus Gustaf Armfelt;/wiki/August_Magnus_Gustaf_Armfelt;;nobility;;
Gustaf Vilhelm Arthur Armfelt;/wiki/Gustaf_Vilhelm_Arthur_Armfelt;;nobility;;
Frans Josef von Becker;/wiki/Frans_Josef_von_Becker;;nobility;;
