name;url;occupation;estate;lan;kommun;person_id;wikidata_id
Karl Gustaf Berg;/wiki/Karl_Gustaf_Berg;;burgers;Sortavala;;;Q58073019
Karl Johan Alfred Björkstén;/wiki/Karl_Johan_Alfred_Bj%C3%B6rkst%C3%A9n;;burgers;Loviisa;;;
Johan Leonard Borgström;/wiki/Johan_Leonard_Borgstr%C3%B6m;;burgers;Tammisaari ja Maarianhamina;;;
Karl Johan Boström;/wiki/Karl_Johan_Bostr%C3%B6m;;burgers;Tornio;;;
Anders Israel Cajander;/wiki/Anders_Israel_Cajander;varapuhemies;burgers;;Viipuri;;Q104235961
Karl Fabritius;/wiki/Karl_Fabritius;;burgers;Kuopio;;;Q18688429
Alexander Reinhold Frey;/wiki/Alexander_Reinhold_Frey;;burgers;Viipuri;;;Q17380292
Kristian Alfred Grahn;/wiki/Kristian_Alfred_Grahn;;burgers;Heinola;;;Q101084739
Adolf Wilhelm Granström;/wiki/Adolf_Wilhelm_Granstr%C3%B6m;;burgers;Rauma;;;
Johan Fredrik Gummerus;/wiki/Johan_Fredrik_Gummerus;;burgers;Oulu;;;Q106224094
Lars Johan Hammarén;/wiki/Lars_Johan_Hammar%C3%A9n;;burgers;Tampere;;;
August Vilhelm Helsingius;/wiki/August_Vilhelm_Helsingius;;burgers;Hämeenlinna;;;Q98414082
Herman Peter Höckert;/wiki/Herman_Peter_H%C3%B6ckert;;burgers;Turku;;;
Mathias Jaatinen;/wiki/Mathias_Jaatinen;;burgers;Kokkola;;;Q106224100
August Fredrik Jansson;/wiki/August_Fredrik_Jansson;;burgers;Helsinki;;;Q104188766
Feodor Kiseleff;/wiki/Feodor_Kiseleff_nuorempi;;burgers;Helsinki;;;
Lars Thiodolf Krogius;/wiki/Lars_Thiodolf_Krogius;;burgers;Naantali;;;Q5923749
Joachim Kurtén;/wiki/Joachim_Kurt%C3%A9n;;burgers;Vaasa;;;
Gustaf Adolf Lindblom;/wiki/Gustaf_Adolf_Lindblom;;burgers;Turku;;;Q11860772
Nikolai Lisitzin;/wiki/Nikolai_Lisitzin;;burgers;Käkisalmi;;;Q106224104
Siwert Lundberg;/wiki/Siwert_Lundberg;;burgers;Raahe;;;Q96983841
Gabriel Johan Masalin;/wiki/Gabriel_Johan_Masalin;;burgers;Mikkeli;;;Q103841120
Leo Mechelin;/wiki/Leo_Mechelin;;burgers;Helsinki;;;Q2668824
Frans Edvard Molander;/wiki/Frans_Edvard_Molander;;burgers;Pori;;;Q20255349
Frithiof Napoleon Neppenström;/wiki/Frithiof_Napoleon_Neppenstr%C3%B6m;;burgers;Joensuu ja Kajaani;;;
Fredrik Nylander;/wiki/Fredrik_Nylander;;burgers;Oulu;;;Q6437103
Fredrik Vilhelm Procopé;/wiki/Fredrik_Vilhelm_Procop%C3%A9;;burgers;Tampere;;;
Albert Schogster;/wiki/Albert_Schogster;;burgers;Lappeenranta;;;Q106224110
Karl Kristian Sjöros;/wiki/Karl_Kristian_Sj%C3%B6ros;;burgers;Uusikaupunki;;;
Adolf Albin Sopanen;/wiki/Adolf_Albin_Sopanen;;burgers;Savonlinna;;;Q106223951
Gabriel Tengström;/wiki/Gabriel_Tengstr%C3%B6m;;burgers;Pietarsaari;;;
Georg Wallgren;/wiki/Georg_Wallgren;;burgers;Porvoo;;;Q11860381
Adolf Wasenius;/wiki/Adolf_Wasenius;;burgers;Hamina;;;Q6232877
Otto Samuel Wendelin;/wiki/Otto_Samuel_Wendelin;;burgers;Kristiinankaupunki ja Kaskinen;;;
Henrik Wilhelm Johan Zilliacus;/wiki/Henrik_Wilhelm_Johan_Zilliacus;puhemies;burgers;;Helsinki;;Q15733148
Adolf Wilhelm von Zweygberg;/wiki/Adolf_Wilhelm_von_Zweygberg;;burgers;Jyväskylä;;;Q106223945
Carl Adolf Öhrnberg;/wiki/Carl_Adolf_%C3%96hrnberg;;burgers;Helsinki;;;
Tomas Erik Robert Adolf Adlercreutz;https://en.wikipedia.org/wiki/Tomas_Erik_Robert_Adolf_Adlercreutz;;nobility;;;;Q104145194
Georg von Alfthan;https://en.wikipedia.org/wiki/Georg_von_Alfthan;;nobility;;;;Q4063673
Adolf Aminoff;https://en.wikipedia.org/wiki/Adolf_Aminoff_(1806%E2%80%931884);;nobility;;;;
Berndt Adolf Carl Gregori Aminoff;https://en.wikipedia.org/wiki/Berndt_Adolf_Carl_Gregori_Aminoff;;nobility;;;;Q11854130
Fredrik Aminoff;https://en.wikipedia.org/wiki/Fredrik_Aminoff;;nobility;;;;Q104378293
Samuel Henrik Antell;https://en.wikipedia.org/wiki/Samuel_Henrik_Antell;;nobility;;;;Q11892298
August Magnus Gustaf Armfelt;https://en.wikipedia.org/wiki/August_Magnus_Gustaf_Armfelt;;nobility;;;;Q11853366
