name;url;occupation;estate;lan;kommun;wikidata_id;person_id
Emil Frithiof Andersin;/wiki/Emil_Frithiof_Andersin;;burgers;;Kuopio;;i-FXUQh967xLRCogeTYmdrCW
Karl Gustaf Berg;/wiki/Karl_Gustaf_Berg;;burgers;;Sortavala;;i-Lch3o2YJ8cMMwJUB46sQcL
Edvin Bergroth;/wiki/Edvin_Bergroth;;burgers;;Helsinki;Q11856628;i-At9a8ncvtGPg92S7PgB8fA
Emanuel Berner;/wiki/Emanuel_Saloheimo;;burgers;;Mikkeli;;i-Vquuv2Q1nBy3xPM3DXsFHJ
Karl Johan Alfred Björkstén;/wiki/Karl_Johan_Alfred_Bj%C3%B6rkst%C3%A9n;;burgers;;Loviisa;;i-X34Zne89V23zWXu6gQymw6
Olof Blom;/wiki/Olof_Blom;;burgers;;Uusikaupunki;;i-XiVVgVb5iaBAvUJZsKjy2J
Johan Leonard Borgström;/wiki/Johan_Leonard_Borgstr%C3%B6m;;burgers;;Tammisaari;;i-9sKLrfez1BQeoAsquLZ5Zh
Robert Castrén;/wiki/Robert_Castr%C3%A9n;;burgers;;Uusikaarlepyy;;i-BJyQJPdthT1RRdTugUdZuZ
Anders Herman Chydenius;/wiki/Anders_Herman_Chydenius;;burgers;;Tornio;;i-mqFQ18ES1erLNMqHvDjc5
Ludvig Gustaf Leonhard Clouberg;/wiki/Ludvig_Gustaf_Leonhard_Clouberg;;burgers;;Viipuri;;i-CGNfHCSmfYZ4tNvJeVzTTV
Petter Edvard Ervast;/wiki/Petter_Edvard_Ervast;;burgers;;Kajaani;;i-EYL9UZ7jUiPhk9qT9L4Gma
Karl Fabritius;/wiki/Karl_Fabritius;;burgers;;Kuopio;;i-Hsgr383t4iizpwWFP77NxX
Carl Federley;/wiki/Carl_Federley;;burgers;;Maarianhamina;;i-J4VesWHSy7vjipBi6XD4Hw
Johan August Florin;/wiki/Johan_August_Florin;;burgers;;Kaskinen;;i-9D2LibJwPUscnAJfeCAzVY
Axel Georg Henrik Grönvik;/wiki/Axel_Georg_Henrik_Gr%C3%B6nvik;;burgers;;Turku;;i-JwTjoz93HVQHyRNS5qpK9c
Herman Erik Gummerus;/wiki/Herman_Erik_Gummerus;;burgers;;Sortavala;;i-5wGgfoitFJgsHxGLJqKGy6
K. G. Göös;/wiki/K._G._G%C3%B6%C3%B6s;;burgers;;Jyväskylä;;i-4uYMuK2CS64Vd4VXcM41TY
Mauritz Hallberg;/wiki/Mauritz_Hallberg;;burgers;;Heinola;;i-7KxQWYRijD5jxcyYeme3uf
Lars Johan Hammarén;/wiki/Lars_Johan_Hammar%C3%A9n;;burgers;;Tampere;;i-MJwirdyVsfeQa46rvEQmu8
Alarik Hasselblatt;/wiki/Alarik_Hasselblatt;;burgers;;Oulu;;i-VyRQHiuU325bocyuNaMNwp
Oskar Hedlund;/wiki/Oskar_Hedlund;;burgers;;Savonlinna;;i-A2fa7zDugMgoGur3miP6wM
Felix Heikel;/wiki/Felix_Heikel;;burgers;;Helsinki;Q5797587;i-N4Kj7XJKByKctvmiVZHuWm
Richard Heimberger;/wiki/Richard_Heimberger;;burgers;;Helsinki;;i-QJ1ZkTV7SwMpxh2ZB1Guar
Walter Hoving;/wiki/Walter_Hoving;;burgers;;Viipuri;Q7965175;i-4roc5uHbzAkspAR4dugTxs
Axel August Hårdh;/wiki/Axel_August_H%C3%A5rdh;;burgers;;Tampere;;i-AYoxgmS8gHJDiYdTBRU1Bm
K. E. F. Ignatius;/wiki/K._E._F._Ignatius;;burgers;;Käkisalmi;;i-98bUS6KbiDMJMtzt7fuK1Z
Gustaf Adolf Ingman;/wiki/Gustaf_Adolf_Ingman;;burgers;;Kokkola;;i-7txY9TGxvA9452DMrBpy15
Lars Thiodolf Krogius;/wiki/Lars_Thiodolf_Krogius;;burgers;;Naantali;;i-66ymQwCreeuuTbu7QJYwGA
