name;url;occupation;estate;lan;kommun;wikidata_id;person_id
Johan Henrik Alkunen;/wiki/Johan_Henrik_Alkunen;;burgers;;Helsinki;;i-5dPrEEkSz1FYJNh3fKxGLP
Ossian Ansas;/wiki/Ossian_Ansas;;burgers;;Vaasa;;i-FXge12HBsdn8k5HAufzWpc
Woldemar Backman;/wiki/Woldemar_Backman;;burgers;;Pietarsaari;;i-UEYzaBGkjvQa4ih72x4yeC
Konrad Björkstén;/wiki/Konrad_Bj%C3%B6rkst%C3%A9n;;burgers;;Porvoo;;i-KoJBp9j1HAS2wtWnF79M1o
T. J. Boisman;/wiki/T._J._Boisman;;burgers;;Helsinki;;i-E842CxwFnJfAsu59UCBbji
Carl Alfred Carlström;/wiki/Carl_Alfred_Carlstr%C3%B6m;;burgers;;Kristiinankaupunki;;i-LcbKWGDpGm9XdVkcD4Yn4p
Arthur Castrén;/wiki/Arthur_Castr%C3%A9n;;burgers;;Oulu;;i-9oxDi4BqdVHRsvWRKNPpdt
Kaarlo Castrén;/wiki/Kaarlo_Castr%C3%A9n;;burgers;;Hamina;;i-tmNmmQ5iKubJrqgCeZYdn
Axel Cederberg;/wiki/Axel_Cederberg;;burgers;;Vaasa;;i-567gVPjPfpWGN2AoJtRfBW
Anton Elving;/wiki/Anton_Elving;;burgers;;Tampere;;i-6rnaskjzpKMmf1BKqf1dSH
Eero Erkko;/wiki/Eero_Erkko;;burgers;;Hämeenlinna;Q4119026;i-7r2DHZ8fkniPeRQbBRGNbv
Oskar Groundstroem;/wiki/Oskar_Groundstroem;;burgers;;Helsinki;;i-EYJT4XUYCifxuQgXm8q9GN
Aimo Hallberg;/wiki/Aimo_Hallberg;;burgers;;Kotka;;i-KT9fa2ehNHWytc91mC68Ag
Mauritz Hallberg;/wiki/Mauritz_Hallberg;;burgers;;Helsinki;;i-7KxQWYRijD5jxcyYeme3uf
Felix Heikel;/wiki/Felix_Heikel;;burgers;;Viipuri;Q5797587;i-N4Kj7XJKByKctvmiVZHuWm
Theodor August Heikel;/wiki/Theodor_August_Heikel;;burgers;;Uusikaarlepyy;;i-AZnkerqXAUAGLvKWER21jf
Walter Heimbürger;/wiki/Walter_Heimb%C3%BCrger;;burgers;;Helsinki;;i-Y59h3ky8p4w3hRToAKqdFq
Niilo Helander;/wiki/Niilo_Helander;;burgers;;Heinola;;i-4jWtzjmGyp5knhYQSbBe7D
August Hjelt;/wiki/August_Hjelt;;burgers;;Naantali;Q4355143;i-Tyx5Yj2Vx6u9mvdwtU9AKF
Gustaf Rudolf Idman;/wiki/Gustaf_Rudolf_Idman;;burgers;;Tampere;;i-9hHPWbbtgznfxec4dGcfyM
Santeri Ivalo;/wiki/Santeri_Ivalo;;burgers;;Iisalmi;;i-E4eK7REWL1iRG4jFor7gae
Fredrik Jansson;/wiki/Fredrik_Jansson;;burgers;;Helsinki;Q96378496;i-PJieNR5tUWvJeBkxF7Dr9F
Julius Emerik Jansson;/wiki/Julius_Emerik_Jansson;;burgers;;Maarianhamina;;i-Q5EydXH8qjLRMePzsPkUGU
Juho Heikki Jokinen;/wiki/Juho_Heikki_Jokinen;;burgers;;Turku;;i-KQxKFWq81XxtmGUs1mvL4r
Fritz Arthur Jusélius;/wiki/Fritz_Arthur_Jus%C3%A9lius;;burgers;;Pori;;i-Nxfsn5PHzYhH2DmBcoNnAc
Vilho Jämsén;/wiki/Vilho_J%C3%A4ms%C3%A9n;;burgers;;Kemi;;i-EAHXCwinZpxJEmpN7f2gCG
Einar August Kalm;/wiki/Einar_August_Kalm;;burgers;;Tornio;;i-8vaPG6C2FYVaveHA3TgTDk
Kyösti Kanniainen;/wiki/Ky%C3%B6sti_Kanniainen;;burgers;;Jyväskylä;;i-RdVg2ED8jziUyqAhpvSx15
Kustaa Killinen;/wiki/Kustaa_Killinen;;burgers;;Kuopio;Q5403873;i-VUPS4htBc7spKyCvDEph4z
Kaarlo Kokkonen;/wiki/Kaarlo_Kokkonen;;burgers;;Kajaani;;i-UBSoYX91VzS6A6UZDp8vNf
Johan Albert Kosk;/wiki/Johan_Albert_Kosk;;burgers;;Helsinki;;i-YaBxVxSb356iXmkaP5o367
Taneli Kurkela;/wiki/Taneli_Kurkela;;burgers;;Tampere;;i-E3msfxTo8TZ2VyeUTvXSUg
Mikko Latva;/wiki/Mikko_Latva;;burgers;;Pori;Q17382097;i-14317JnQPTgWq1zhQNz5cf
Magnus Lavonius;/wiki/Magnus_Lavonius;;burgers;;Tampere;;i-VPkGALknWhkvyLEqpQP32A
W. A. Lavonius;/wiki/W._A._Lavonius;;burgers;;Helsinki;;i-AJ842ydXS7vgqvEHKBzHhk
Konstantin Lojander;/wiki/Konstantin_Lojander;;burgers;;Rauma;;i-4VDyKAbfGyk5dYP2hRbCWd
Johannes Lundson;/wiki/Johannes_Lundson;;burgers;;Lappeenranta;Q391176;i-NxYVE3KzeNrGHSJrekxTNq
Albert Luoma;/wiki/Albert_Luoma;;burgers;;Raahe;;i-MsAZiKUoJpJxkiXUKdN7nN
Gustaf Manninen;/wiki/Gustaf_Manninen;;burgers;;Pori;;i-2Y7nE87KujbGcxBqipXQGn
Guss Mattsson;/wiki/Guss_Mattsson;;burgers;;Kaskinen;;i-MDfAM83g7G9zW98usAVuS1
Antti Mikkola;/wiki/Antti_Mikkola;;burgers;;Turku;Q11852170;i-TyPEdHTUkNhatf9Qa8vJqR
Yrjö Mäkelin;/wiki/Yrj%C3%B6_M%C3%A4kelin;;burgers;;Oulu;;i-GsZwREPpy6D78H3Sw8e8Gm
Kaarlo Kristian Mäkinen;/wiki/Kaarlo_Kristian_M%C3%A4kinen;;burgers;;Mikkeli;;i-Vs4QzRgBgAecAXeabLq3Sy
Arvid Neovius;/wiki/Arvid_Neovius;;burgers;;Loviisa;Q2041075;i-YaJc7TK6KSJr3uwv6p5AgR
Isak Oivanen;/wiki/Isak_Oivanen;;burgers;;Kotka;;i-UunQBxgJCJ91ySCNSRMCtw
Simo Frithiof Parviainen;/wiki/Simo_Frithiof_Parviainen;;burgers;;Joensuu;;i-SZ16bZKoDB96Toq5hKxNqX
Leonard von Pfaler;/wiki/Leonard_von_Pfaler;puhemies;burgers;;Helsinki;;i-J2CszrE3gkUiAQ8Qt52mWd
Matti Pietinen;/wiki/Matti_Pietinen;;burgers;;Viipuri;Q17382941;i-5wge6QMG7pAdkdDzz7CEBh
Eduard Polón;/wiki/Eduard_Pol%C3%B3n;;burgers;;Helsinki;;i-YHMajQHP5NsMtjp6vqMN7v
Erkki Reijonen;/wiki/Erkki_Reijonen;;burgers;;Tampere;;i-WqCwSrRYdPbFEUgRi8a3PH
K. H. Renlund;/wiki/K._H._Renlund;;burgers;;Kokkola;;i-Ga4zhpKhZgMrwW6CEFhPKo
Heikki Renvall;/wiki/Heikki_Renvall;;burgers;;Savonlinna;Q4357064;i-7WDqJ36fmBcNsdEcPvvoFQ
Viktor Jedidjah Alfred Roos;/wiki/Viktor_Jedidjah_Alfred_Roos;;burgers;;Hanko;;i-9xUHPAc9cf8T1C3qtsfCqM
Mauno Rosendal;/wiki/Mauno_Rosendal;;burgers;;Oulu;Q6079717;i-WfaPXmrfKy2M88t7q4ZBr6
