name;url;occupation;estate;lan;kommun;wikidata_id;person_id
Kristian Trapp;/wiki/Kristian_Trapp;Kauppias;burgers;säädyn puhemies;;Q11873034;i-SPqs6qVLvM2YBpWYSvfLES
Samuel Gottschick;/wiki/Samuel_Gottschick;Nahkuripäällysmies (tehtailija);burgers;Turku;;Q104602803;i-RUeFTJDk4Bcmi5Q2QfrMYL
Jacob Holmstén;/wiki/Jacob_Holmst%C3%A9n;Kauppias;burgers;Loviisa;;;i-4hJfZcdKGCaVEoCZoUaDQz
Eric Borgström;/wiki/Eric_Borgstr%C3%B6m;Kauppias ja;burgers;>Helsinki;;;i-7yLhYQui5h64ArrLmA5HiH
Carl Magnus Engman;/wiki/Carl_Magnus_Engman;Raatimies ja;burgers;Oulu and Kajaani;;Q11855007;i-Mn3ZFywZU8ZfJcVx8DUemL
Herman Höckert;/wiki/Herman_H%C3%B6ckert;Raatimies ja;burgers;Vaasa;;;i-TwPvj87UckWE35KtsCMaGf
Johan Ascholin;/wiki/Johan_Ascholin;Kauppias, laivanvarustaja;burgers;Pori;;Q104602792;i-F2za3adppYaQeFqUUwomi1
Fredrik Ståhle;/wiki/Fredrik_St%C3%A5hle;Kauppias;burgers;Rauma;;;i-LEMEoacBNp84qL8VqhrH4x
Johan Solitander;/wiki/Johan_Solitander;Ruukinpatruuna, laivanvarustaja, vuorineuvos;burgers;Porvoo;;Q30216290;i-3ocbkCaKGJxUE9PNm413LR
Pehr Malm;/wiki/Pehr_Malm;Raatimies, laivanvarustaja;burgers;Uusikaarlepyy;;Q21558202;i-CpsZQHqcUJ8sJsVExPYDCJ
Hans Petter Winge;/wiki/Hans_Petter_Winge;Pormestari;burgers;Kokkola and Pietarsaari;;Q104549898;i-NAH7vpemmxvbjxdoZq9z1P
Nils Nyman;/wiki/Nils_Nyman;Kauppias;burgers;Uusikaupunki;;Q104627328;i-FRViuuMu59HXvcduvR4JJb
Mårten Fredrik Ringbom;/wiki/M%C3%A5rten_Fredrik_Ringbom;Pormestari;burgers;Tammisaari;;;i-W6pUWxkMs3AK6Keb3vy9Bi
Daniel Mattens;/wiki/Daniel_Mattens;Asessori;burgers;Kristiinankaupunki;;Q104549905;i-AVxkEH2ndEP8Y9Rxbhajt3
Jakob Elias Granberg;/wiki/Jakob_Elias_Granberg;Raatimies;burgers;Hämeenlinna;;Q104602798;i-94rK59UA38i4JL2Sug6o3i
Henrik Sovelius;/wiki/Henrik_Sovelius_(1772%E2%80%931817);Kauppias;burgers;Raahe;;;i-QYxULRmLP8R5DCtgrjvZn8
Ernst Fredrik Tihlman;/wiki/Ernst_Fredrik_Tihlman;Järjestysmies (pormestari);burgers;Tampere;;Q61104466;i-7pvtgkYBj65JtBKz3rwe8c
Samuel Backman;/wiki/Samuel_Backman;Raatimies;burgers;Kuopio;;Q104602800;i-8LkpMrYhYHUCw7RiiDKYqY
Petter Johan Bladh;/wiki/Petter_Johan_Bladh;Tukkukauppias, laivanvarustaja;burgers;Kaskinen;;Q5578552;i-S1pw6piuuiCbir7ePXdqY4
Johan Fredrik Stichaeus;/wiki/Johan_Fredrik_Stichaeus;Säädyn sihteerinä toimi;burgers;;;Q6190209;i-VhqCtxytxwuCQMhjHGTkar
Robert Wilhelm de Geer;/wiki/Robert_Wilhelm_de_Geer;;nobility;;;Q5618707;i-EWnS8D5oELrZTGgrDxKuax
Karl Gustaf Creutz;/wiki/Karl_Gustaf_Creutz;;nobility;;;Q104549831;i-E8o2CUgc6j8zTErDbaEDQk
Reinhold Johan Rehbinder;/wiki/Reinhold_Johan_Rehbinder;;nobility;;;Q17383421;i-LTLtGArV54n8xN9SzsYhCh
Axel Gustaf Mellin;/wiki/Axel_Gustaf_Mellin;;nobility;;;Q11853711;i-VGqPqFP6tmzxhZ9q5yFquP
Axel Reinhold Cedercreutz;/wiki/Axel_Reinhold_Cedercreutz;;nobility;;;Q104578164;i-5TGtkJ2B6PNt9Twh6nvAo7
Fredrik Ulrik Bernt Otto Stackelberg;/wiki/Fredrik_Ulrik_Bernt_Otto_Stackelberg;;nobility;;;Q104588882;i-NXVEJeG8exDqKdqBDPeqwV
Olof Cederström;/wiki/Olof_Cederstr%C3%B6m;;nobility;;;;i-5kBUbZcc9W5nSQxVdQJc7R
August Filip Armfelt;/wiki/August_Filip_Armfelt;;nobility;;;Q104588874;i-QP5DJLaZH6HrKA2LVXwim9
Gustaf von Kothen;/wiki/Gustaf_von_Kothen;;nobility;;;Q17381860;i-G4Kxx8in9vUPtEQxcVFHyA
Carl Erik Mannerheim;/wiki/Carl_Erik_Mannerheim;;nobility;;;Q1814297;i-WJyvVSfmgdVMjZNnsdy3tG
Karl Efraim Carpelan;/wiki/Karl_Efraim_Carpelan;;nobility;;;Q64952323;i-5wKk1hTdoAVXButE7JRL3D
Johan Henrik Munck;/wiki/Johan_Henrik_Munck;;nobility;;;Q85990722;i-GPf3EjMoWsMbpy1SvvWd7X
Simon Wilhelm Carpelan;/wiki/Simon_Wilhelm_Carpelan;;nobility;;;Q5603759;i-3NzetkZgoRr8VV7zjFi3ik
Ernst Gustaf von Willebrand;/wiki/Ernst_Gustaf_von_Willebrand;;nobility;;;Q11858495;i-9NPbqrVhnEWt9rc4ue6aY7
Otto Christer Boije af Gennäs;/wiki/Otto_Christer_Boije_af_Genn%C3%A4s;;nobility;;;;i-9Dzc4G9y6rKN78zKhtTiwK
Claes Uggla;/wiki/Claes_Uggla;;nobility;;;Q104551874;i-5eevwT5GCkMCS1gcqgfZj7
Johan Anders Jägerhorn;/wiki/Johan_Anders_J%C3%A4gerhorn;;nobility;;;;i-EZ7u1ySxqiV1yRWzN5MvET
Henrik Johan von Knorring;/wiki/Henrik_Johan_von_Knorring;;nobility;;;Q104549953;i-EdWPU8jZb97Q5NntadXUgh
Berndt Fredrik Finckenberg;/wiki/Berndt_Fredrik_Finckenberg;;nobility;;;Q104549857;i-2N84i2GCAKRZCDmnxUA3sR
Svinhufvud af Qvalstad;/wiki/Svinhufvud_af_Qvalstad;;nobility;;;Q4354047;i-R8cSAzux46z13Kz116RqYq
Salomon Jakob Finckenberg;/wiki/Salomon_Jakob_Finckenberg;;nobility;;;Q104549968;i-75pSkRZ6BxTGmjSBdZULLB
Henrik Robert Spåre;/wiki/Henrik_Robert_Sp%C3%A5re;;nobility;;;;i-V2gvXzy4yVR37t4spVqk1w
Johan Herman Lode;/wiki/Johan_Herman_Lode;;nobility;;;Q85991585;i-RazorKnY8QnsosmjEpa7Cx
Karl Fredrik Rotkirch;/wiki/Karl_Fredrik_Rotkirch;;nobility;;;Q5397177;i-7FxWCGCiKk7Yh2rkLEFLWs
Axel Herman Hästesko af Målagård;/wiki/Axel_Herman_H%C3%A4stesko_af_M%C3%A5lag%C3%A5rd;;nobility;;;;i-4quLjNLFHWHxz6QFw9C8bN
Fredrik Adolf Ramsay;/wiki/Fredrik_Adolf_Ramsay;;nobility;;;Q104551848;i-ABLF8gmTUdDY82WDDDAPc5
Robert Blåfield;/wiki/Robert_Bl%C3%A5field;;nobility;;;;i-MNNdb5hx4FpNXw9RbRm64
Jacob Wilhelm Hisinger;/wiki/Jacob_Wilhelm_Hisinger;;nobility;;;Q20736700;i-Y2mbsnjJ1pEgjBPzSdDZn
