estate_id,meeting_id,speaker_name,person_id,start,end
es-nob,diet-provoo,Robert Wilhelm De Geer,i-EWnS8D5oELrZTGgrDxKuax,,
es-nob,diet-1863,Johan Mauritz Nordenstam,i-VDpx7vFjSL3NsTqo3roC5x,,
es-nob,diet-1867,Johan Mauritz Nordenstam,i-VDpx7vFjSL3NsTqo3roC5x,,
es-nob,diet-1872,Johan Mauritz Nordenstam,i-VDpx7vFjSL3NsTqo3roC5x,,
es-nob,diet-1877,Johan August von Born,i-VbQi5D8Ho9a1gwVtHWXrrt,,
es-nob,diet-1882,Samuel Werner von Troil,i-9NbuRgUjosumWbUFQEtRjx,,
es-nob,diet-1885,Samuel Werner von Troil,i-9NbuRgUjosumWbUFQEtRjx,,
es-nob,diet-1888,Victor von Haartman,i-3AtCF9sv6EHtjCstTrjHpC,,
es-nob,diet-1891,Victor von Haartman,i-3AtCF9sv6EHtjCstTrjHpC,,
es-nob,diet-1894,Lars Teodor von Hellens,i-73dFa8UGNCPz6EYcxu2835,,
es-nob,diet-1897,Samuel Werner von Troil,i-9NbuRgUjosumWbUFQEtRjx,,
es-nob,diet-1899,Samuel Werner von Troil,i-9NbuRgUjosumWbUFQEtRjx,,
es-nob,diet-1900,Samuel Werner von Troil,i-9NbuRgUjosumWbUFQEtRjx,,
es-nob,diet-1904,Constantin Linder,i-RBMv4NKJqVbMmhQsYSdbLb,,1905-01-25
es-nob,diet-1904,Ossian Wuorenheimo,i-SqM5eM5mRQL5Ezs1SSYeE,1905-02-27,
es-nob,diet-1905,Viktor Magnus von Born,i-L9kZxLhWCuQyLqDdMjfmwo,,
es-cle,diet-provoo,Jacob Tengström,i-L5qYEMkX66L24jwk7VCB5m,,
es-cle,diet-1863,Edvard Bergenheim,i-9LLh6mGQVjVanYHbQEP6bz,,
es-cle,diet-1867,Edvard Bergenheim,i-9LLh6mGQVjVanYHbQEP6bz,,
es-cle,diet-1872,Edvard Bergenheim,i-9LLh6mGQVjVanYHbQEP6bz,,
es-cle,diet-1877,Edvard Bergenheim,i-9LLh6mGQVjVanYHbQEP6bz,,
es-cle,diet-1882,Anders Johan Hornborg,i-VeJcY7HKzWYk4AsDj8GPyn,,
es-cle,diet-1885,Torsten Thure Renvall,i-2X7N1Zp3Fhx6CZv8Ja21nK,,
es-cle,diet-1888,Torsten Thure Renvall,i-2X7N1Zp3Fhx6CZv8Ja21nK,,
es-cle,diet-1891,Torsten Thure Renvall,i-2X7N1Zp3Fhx6CZv8Ja21nK,,
es-cle,diet-1894,Torsten Thure Renvall,i-2X7N1Zp3Fhx6CZv8Ja21nK,,
es-cle,diet-1897,Gustaf Johansson,,,
es-cle,diet-1899,Gustaf Johansson,,,
es-cle,diet-1900,Gustaf Johansson,,,
es-cle,diet-1904,Gustaf Johansson,,,
es-cle,diet-1905,Gustaf Johansson,,,
es-bou,diet-provoo,Kristian Trapp,i-SPqs6qVLvM2YBpWYSvfLES,,
es-bou,diet-1863,Robert Isidor Örn,i-LaaLKatPvVQRvR2ozPzenC,,
es-bou,diet-1867,Frans Wilhelm von Frenckell,i-Di43id6kYb8YitBcHWJivt,,
es-bou,diet-1872,H. W. J. Zilliacus,i-95kqLStAkf79wjFbzwvEWA,,
es-bou,diet-1877,Alexander R. Frey,i-5WuVXuwKbML14xudb51yD9,,1877-06-14
es-bou,diet-1877,Georg Wallgren,i-QEfPLQGwwVw7e6SHKhBgS7,1877-06-14,
es-bou,diet-1882,Lorenz Lindelöf,i-TeVreJTGDQcrpSivfqbBtE,,
es-bou,diet-1885,Anders Joachim Kurtén,i-TMtBCHpVArrzqFRZ7UamYA,,
es-bou,diet-1888,Anders Joachim Kurtén,i-TMtBCHpVArrzqFRZ7UamYA,,
es-bou,diet-1891,Anders Joachim Kurtén,i-TMtBCHpVArrzqFRZ7UamYA,,
es-bou,diet-1894,Anders Joachim Kurtén,i-TMtBCHpVArrzqFRZ7UamYA,,
es-bou,diet-1897,Anders Joachim Kurtén,i-TMtBCHpVArrzqFRZ7UamYA,,
es-bou,diet-1899,Anders Joachim Kurtén,i-TMtBCHpVArrzqFRZ7UamYA,,
es-bou,diet-1900,Felix Heikel,i-N4Kj7XJKByKctvmiVZHuWm,,
es-bou,diet-1904,Hugo Lilius,i-PX1FwcYEjVrTLmnqUwwqS9,,
es-bou,diet-1905,Leonard von Pfaler,i-J2CszrE3gkUiAQ8Qt52mWd,,
es-pea,diet-provoo,Pehr Klockars,i-NphcP16j5qu5ntda7ML8DP,,
