person_id,wiki_id
i-14317JnQPTgWq1zhQNz5cf,Q17382097
i-14fxkLqzdcadwNTzSJwBCv,Q105086426
i-1764P2Vnu3yRnSonnYBdyo,Q2782990
i-17htpZDs17EUXFq4uXyrgb,Q105432284
i-17rHdCAokyZJRHvnBtWfiy,Q105454506
i-182iQaw41tqTySDbhb38Sp,Q105037587
i-232oBiwo9Msdu9iGgYgsy7,Q105771891
i-24MJDgsqqgCgQM9j64vDZY,Q17382406
i-254g857EoqyeksFi9ULpYn,Q105629945
i-25WDyXxu97AE9nCuf58dk9,Q107283215
i-26xiTcnRwiSfZaD1uCoG3H,Q106323601
i-29jAvqcdVSDmnMHm7GL7zd,Q101184315
i-2CJtkh9e4uShfgLaoscF6f,Q101034227
i-2ELCNXniPoUbrhGohCTZVH,Q17380288
i-2GsZ4BooHWCQvrdPTMX1GL,Q102322805
i-2GtDchQB42K4xYbTq87cVq,Q20252786
i-2J1cFCU1ntRSDLK69LyixZ,Q105350990
i-2Ji5aehRfDbxVmrRpEzJLv,Q107978489
i-2JpLXsMwopWLZqb1nASqEs,Q106319506
i-2M9Q96JhxJvPjW2FZPFTCY,Q11851328
i-2N84i2GCAKRZCDmnxUA3sR,Q104549857
i-2Ng5Yiz94qvSG22vZM58eP,Q106323713
i-2Nv6cX45TaPfoUjwp4kCNm,Q105620588
i-2PT41UyWuKo4xm1qXeaPnb,Q5040254
i-2QuMhjdBvRwN4UjQH2UEkH,Q11853728
i-2Ss1PMTbudt7KdQFdTRFcG,Q106811973
i-2TJ9oUcw4dzh1P1QpjGfP7,Q17381619
i-2TmKiLYSqwWZHXSS1TZEeE,Q106766138
i-2VUbjQp4iwPVbhLEqfvijy,Q11870138
i-2VhaeA75HNF4Pr6FXDXgtW,Q100851697
i-2W4vYEoJYZJJk2NotrpeYd,Q11865418
i-2WTpAbUHcxdqr6EZLuThwv,Q104622533
i-2WWyV6tYwf1MCC9zgsfC2t,Q105636276
i-2XhKnDrvwR1osJ5ryzubot,Q17383887
i-2Y28YhcXXa6iFvLQQcnSZa,Q105662969
i-2Y7nE87KujbGcxBqipXQGn,Q91615383
i-2ZVFdKNgodWAvp9mUf7Ku6,Q106811961
i-2a1jEQVQLMgg8WcCkNCz31,Q6163504
i-2aAsQDaQzvviNLiHAqhh6S,Q104143745
