swerik_person_id,wikipedia_url
i-4pNngQyqmP5Kg5wWKeSy3V,/wiki/Carl_Gustaf_Bergh
i-6DuVyuC7kS7QorVNngNDKr,/wiki/Carl_Gustaf_Bergstedt
i-7PQtvWecq1Ua58ZFrCtdTC,/wiki/Carl_Anton_Bj%C3%B6rnberg
i-BzrNqqibkf4bK5hsMA9r4e,/wiki/Christian_Edvard_Boehm
i-BS1rKVRVpWVyF8aZNiP25T,/wiki/Leonard_Candelin
i-96BNtQaSvwr9KuTw3K37Pg,/wiki/Pontus_Ludvig_Dahlman
i-KNyQj1kXggVdvC3PWZkjqC,/wiki/Carl_Magnus_Dahlstr%C3%B6m
i-UeCsY7Z8EWg5JUKatauFUi,/wiki/Carl_Wilhelm_Franck
i-Di43id6kYb8YitBcHWJivt,/wiki/Frans_Wilhelm_von_Frenckell
i-KGaDYg8SvhTQwWAdJXsgTo,/wiki/Carl_Grundfeldt
i-Nh9zLKZnLGy4jBe4znCjG3,/wiki/Karl_Fredrik_Gr%C3%B6nberg
i-5jCKzdcZnraicuizSYLqn8,/wiki/Karl_Jakob_Gr%C3%B6nberg
i-EHtdX5jCKmh1XzVaChg5t7,/wiki/Johan_Fredrik_Hackman
i-Xe1qZotGWfXG5fzCsN14YH,/wiki/Berndt_Erik_Konstantin_Hild%C3%A9n
i-8s1muuYkJkCuHXpZxcYW4y,/wiki/Karl_Magnus_Holm
i-Fw8FPwmDv3ESpXNhmXoZYU,/wiki/Fritiof_Hultman
i-CFL7Y68fc6XBuSEp4v5zKb,/wiki/Petter_Johan_H%C3%A4m%C3%A4l%C3%A4inen
i-W6Nd2mXWGmeP1J6mr9WBfx,/wiki/Adolf_Juselius
i-ErefsCL6f7Lvk9iUbkZtPZ,/wiki/Rurik_Kellgren
i-2v1sP1pTkv6wpgJSg3UXcQ,/wiki/Jakob_Krank
i-7SPzgxv8ewS5Hc1tGVg42M,/wiki/Ferdinand_Lemstr%C3%B6m
i-GGBAD7iX8fRMidLfwkuf4H,/wiki/Karl_Edvard_Lindeqvist
i-wPTdRzX77zcPiX3pjEpko,/wiki/Theodor_Lindroth
i-M3vdGvw9iDEMvMQ8z7ckwG,/wiki/Peter_Malm
i-LPSNw3P3JYfMofPLqXC3FU,/wiki/Anders_Johan_Molander
i-6j68VR9CvfoQrbnp2hkgQP,/wiki/Jakob_M%C3%B6ls%C3%A4
i-DnEdGep1q7buLQVxHwoV7o,/wiki/Henrik_Parviainen
i-LxagQossAJBCsTviBZ67Ld,/wiki/Carl_W._Savander
i-AbBzS623kguAxboqvMi468,/wiki/Carl_Wilhelm_Ignatius_Sundman
i-NbSptXiZKGLtChSMzVsm4n,/wiki/Fredrik_Sneckenstr%C3%B6m
i-EDqv7TisA5PjGhg4drrxvt,/wiki/Gabriel_Tengstr%C3%B6m
i-CAhqDoBcsxJ76kroHgGKnE,/wiki/Anton_Johan_Therm%C3%A9n
i-3AAUZNqftJnZPhMYWGsWAy,/wiki/Stefan_Tr%C3%A4skelin
i-3azMqGSRVZPNhg24uDkjHa,/wiki/Otto_Samuel_Wendelin
i-Sgc98ZDEzcXD8Ee87B26PF,/wiki/Samuel_Johan_Vesander
i-2PT41UyWuKo4xm1qXeaPnb,/wiki/Carl_Gustaf_Wolff
i-QE8zNVMp9Xs7sAfD5qKxFo,/wiki/Carl_Adolf_%C3%96hrnberg
i-LaaLKatPvVQRvR2ozPzenC,/wiki/Robert_Isidor_%C3%96rn
i-Pfw4BTaDP6k2iypU8dU681,/wiki/Adolf_Aminoff_(1806%E2%80%931884)
i-GZgKPbnkv98wL3MUuWBgcT,/wiki/Fredrik_Aminoff
i-VzdTpoMPYaepy5MGETH3Sz,/wiki/Germund_Gustaf_Aminoff
i-WgDPTcF2uez6JDVfYnxVob,/wiki/Edvard_Reinhold_von_Ammondt
i-GAtn7bERdoirMx4xRthNqz,/wiki/August_Magnus_Gustaf_Armfelt
i-um2SN8BNPktTMYG2CHe7B,/wiki/Carl_Magnus_Mauritz_Armfelt
i-7gtxYc7PAsEZ3WK26gsMQF,/wiki/Gustaf_Vilhelm_Arthur_Armfelt
i-M1GkpKKam2WhRvDxjE48Yx,/wiki/Adolf_Edvard_Arppe
i-XTNab9aPye5VciPF4orRsR,/wiki/August_Bergenstr%C3%A5hle
i-WzGDNnRe7z1ZDfiCvTwhVz,/wiki/Lars_Magnus_Bj%C3%B6rkenheim
i-QrXbUARX3WXzHQ9txYadDP,/wiki/Robert_Bj%C3%B6rkenheim
i-6cguaohonQAAXcVFakM5g1,/wiki/Johan_Alfred_af_Bj%C3%B6rksten
